filename,title,year,theme,source,id,url,bytes,status
23_2024_impact-of-flexible-and-bidirectional-charging-in-medium-and-heavy-duty.pdf,Impact of Flexible and Bidirectional Charging in Medium- and Heavy-Duty Trucks on California's Decarbonization Pathway,2024,v2g,arXiv,arxiv:2401.10194,https://arxiv.org/pdf/2401.10194.pdf,366881,ok
24_2020_integrating-battery-aging-in-the-optimization-for-bidirectional-chargi.pdf,Integrating Battery Aging in the Optimization for Bidirectional Charging of Electric Vehicles,2020,v2g,arXiv,arxiv:2009.12201,https://arxiv.org/pdf/2009.12201.pdf,6360906,ok
25_2022_potentials-of-electric-vehicles-for-the-provision-of-active-and-reacti.pdf,Potentials of Electric Vehicles for the Provision of Active and Reactive Power Flexibilities as Ancillary Services at Vertical Power System Interconnections,2022,v2g,arXiv,arxiv:2210.10522,https://arxiv.org/pdf/2210.10522.pdf,735895,ok
26_2024_self-sovereign-identity-for-electric-vehicle-charging.pdf,Self-Sovereign Identity for Electric Vehicle Charging,2024,v2g,arXiv,arxiv:2403.06632,https://arxiv.org/pdf/2403.06632.pdf,630178,ok
27_2022_evexchange-a-relay-attack-on-electric-vehicle-charging-system.pdf,EVExchange: A Relay Attack on Electric Vehicle Charging System,2022,v2g,arXiv,arxiv:2203.05266,https://arxiv.org/pdf/2203.05266.pdf,932414,ok
28_2024_current-affairs-a-security-measurement-study-of-ccs-ev-charging-deploy.pdf,Current Affairs: A Security Measurement Study of CCS EV Charging Deployments,2024,v2g,arXiv,arxiv:2404.06635,https://arxiv.org/pdf/2404.06635.pdf,3830568,ok
29_2020_distributed-vehicle-grid-integration-over-communication-and-physical-n.pdf,Distributed Vehicle Grid Integration Over Communication and Physical Networks,2020,v2g,arXiv,arxiv:2008.08939,https://arxiv.org/pdf/2008.08939.pdf,896658,ok
30_2021_learning-to-operate-an-electric-vehicle-charging-station-considering-v.pdf,Learning to Operate an Electric Vehicle Charging Station Considering Vehicle-grid Integration,2021,v2g,arXiv,arxiv:2111.01294,https://arxiv.org/pdf/2111.01294.pdf,1275293,ok
31_2025_dynamic-incentive-strategies-for-smart-ev-charging-stations-an-llm-dri.pdf,Dynamic Incentive Strategies for Smart EV Charging Stations: An LLM-Driven User Digital Twin Approach,2025,v2g,arXiv,arxiv:2504.01423,https://arxiv.org/pdf/2504.01423.pdf,15684299,ok
32_2025_an-integrated-optimization-framework-for-smart-charging-of-electric-bu.pdf,"An Integrated Optimization Framework for Smart Charging of Electric Bus Fleets under Dynamic Electricity Prices with On-Site Solar Generation, Energy Storage, and V2G operations",2025,v2g,arXiv,arxiv:2509.05940,https://arxiv.org/pdf/2509.05940.pdf,2172718,ok
33_2024_energaize-multi-agent-deep-deterministic-policy-gradient-for-vehicle-t.pdf,EnergAIze: Multi Agent Deep Deterministic Policy Gradient for Vehicle to Grid Energy Management,2024,v2g,arXiv,arxiv:2404.02361,https://arxiv.org/pdf/2404.02361.pdf,718375,ok
34_2018_engineering-and-economic-analysis-for-electric-vehicle-charging-infras.pdf,"Engineering and Economic Analysis for Electric Vehicle Charging Infrastructure --- Placement, Pricing, and Market Design",2018,v2g,arXiv,arxiv:1808.03897,https://arxiv.org/pdf/1808.03897.pdf,9927716,ok
35_2022_value-of-optimal-trip-and-charging-scheduling-of-commercial-electric-v.pdf,Value of Optimal Trip and Charging Scheduling of Commercial Electric Vehicle Fleets with Vehicle-to-Grid in Future Low Inertia Systems,2022,v2g,arXiv,arxiv:2204.11565,https://arxiv.org/pdf/2204.11565.pdf,1229355,ok
36_2024_co-optimization-of-ev-charging-control-and-incentivization-for-enhance.pdf,Co-Optimization of EV Charging Control and Incentivization for Enhanced Power System Stability,2024,v2g,arXiv,arxiv:2405.00947,https://arxiv.org/pdf/2405.00947.pdf,3220817,ok
37_2024_hipporag-neurobiologically-inspired-long-term-memory-for-large-languag.pdf,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,2024,rag,arXiv,arxiv:2405.14831,https://arxiv.org/pdf/2405.14831.pdf,3404698,ok
38_2025_streamlining-plug-and-charge-authorization-for-electric-vehicles-with-.pdf,Streamlining Plug-and-Charge Authorization for Electric Vehicles with OAuth2 and OIDC,2025,v2g,arXiv,arxiv:2501.14397,https://arxiv.org/pdf/2501.14397.pdf,1862711,ok
39_2022_brokenwire-wireless-disruption-of-ccs-electric-vehicle-charging.pdf,Brokenwire : Wireless Disruption of CCS Electric Vehicle Charging,2022,v2g,arXiv,arxiv:2202.02104,https://arxiv.org/pdf/2202.02104.pdf,12923540,ok
40_2017_distributed-optimal-vehicle-grid-integration-strategy-with-user-behavi.pdf,Distributed Optimal Vehicle Grid Integration Strategy with User Behavior Prediction,2017,v2g,arXiv,arxiv:1703.04552,https://arxiv.org/pdf/1703.04552.pdf,648948,ok
41_2025_gridcodex-a-rag-driven-ai-framework-for-power-grid-code-reasoning-and-.pdf,GridCodex: A RAG-Driven AI Framework for Power Grid Code Reasoning and Compliance,2025,rag,arXiv,arxiv:2508.12682,https://arxiv.org/pdf/2508.12682.pdf,294402,ok
42_2023_retrieval-augmented-generation-for-large-language-models-a-survey.pdf,Retrieval-Augmented Generation for Large Language Models: A Survey,2023,rag,arXiv,arxiv:2312.10997,https://arxiv.org/pdf/2312.10997.pdf,1662567,ok
43_2024_evaluation-of-retrieval-augmented-generation-a-survey.pdf,Evaluation of Retrieval-Augmented Generation: A Survey,2024,rag,arXiv,arxiv:2405.07437,https://arxiv.org/pdf/2405.07437.pdf,573447,ok
44_2024_retrieval-augmented-generation-for-natural-language-processing-a-surve.pdf,Retrieval-Augmented Generation for Natural Language Processing: A Survey,2024,rag,arXiv,arxiv:2407.13193,https://arxiv.org/pdf/2407.13193.pdf,1503576,ok
45_2024_on-the-capacity-of-citation-generation-by-large-language-models.pdf,On the Capacity of Citation Generation by Large Language Models,2024,rag,arXiv,arxiv:2410.11217,https://arxiv.org/pdf/2410.11217.pdf,191247,ok
46_2023_enabling-large-language-models-to-generate-text-with-citations.pdf,Enabling Large Language Models to Generate Text with Citations,2023,rag,arXiv,arxiv:2305.14627,https://arxiv.org/pdf/2305.14627.pdf,611779,ok
47_2020_retrieval-augmented-generation-for-knowledge-intensive-nlp-tasks.pdf,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2020,rag,arXiv,arxiv:2005.11401,https://arxiv.org/pdf/2005.11401.pdf,885323,ok
48_2024_raptor-recursive-abstractive-processing-for-tree-organized-retrieval.pdf,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,2024,rag,arXiv,arxiv:2401.18059,https://arxiv.org/pdf/2401.18059.pdf,2547113,ok
49_2024_seven-failure-points-when-engineering-a-retrieval-augmented-generation.pdf,Seven Failure Points When Engineering a Retrieval Augmented Generation System,2024,rag,arXiv,arxiv:2401.05856,https://arxiv.org/pdf/2401.05856.pdf,570647,ok
50_2024_a-survey-on-rag-meeting-llms-towards-retrieval-augmented-large-languag.pdf,A Survey on RAG Meeting LLMs: Towards Retrieval-Augmented Large Language Models,2024,rag,arXiv,arxiv:2405.06211,https://arxiv.org/pdf/2405.06211.pdf,2205763,ok
